"tax_lot_id","dim_time_id","dim_security_id","side","cost_basis","open_date_time","quantity","holding_period_date"
"0d0cf69c-70cd-4722-aa13-b785886a3d13","20240630","3bc496d4-6195-43df-8f80-bf15f83348d8","Long","50604.195","2024-06-28","8000","2024-06-28"
"10db9868-372e-4c34-84b4-9a148b5cb5b8","20240630","6f065e6b-da61-4bd9-affd-82a9e1b05904","Long","37622.8225","2024-06-28","8700","2024-06-28"
"43d82d53-5ae1-4ba1-b378-11b18d96cb3b","20240630","3bc496d4-6195-43df-8f80-bf15f83348d8","Long","52731.5","2024-06-28","2000","2024-06-28"
"4d776c74-8a89-484d-8d51-b527f9f7e196","20240630","3bc496d4-6195-43df-8f80-bf15f83348d8","Long","52631.25","2024-06-28","2000","2024-06-28"
"537b6e71-4ef3-46a3-875f-d70d92feba6f","20240630","3bc496d4-6195-43df-8f80-bf15f83348d8","Long","52230.25","2024-06-28","2000","2024-06-28"
"5dd7c647-4c74-471c-af8f-b53a690f2611","20240630","6f065e6b-da61-4bd9-affd-82a9e1b05904","Long","38496.0","2024-06-28","10000","2024-06-28"
"af27b3c0-e2a6-47cf-b9ef-20bc5e982b6a","20240630","6f065e6b-da61-4bd9-affd-82a9e1b05904","Long","37643.875","2024-06-28","10000","2024-06-28"
"b4600d3a-61b1-4f8b-9074-2425a59f4399","20240630",NULL," ","0.0",NULL,"0",NULL
"c3dd44ef-8588-46aa-9a6d-4fa65cfe895a","20240630","3bc496d4-6195-43df-8f80-bf15f83348d8","Long","52531.0","2024-06-28","4000","2024-06-28"
"d4ce9164-5a37-4301-8d50-acfa78967bf5","20240630","3bc496d4-6195-43df-8f80-bf15f83348d8","Long","51929.5","2024-06-28","4000","2024-06-28"
"dedb6b59-8dae-453a-8fe7-c5cf2f2fd717","20240630",NULL," ","0.0",NULL,"0",NULL
